"","sample_id","site_id","updated_sample_type","fake_kelp_height","year","month","day","sampling_round","lab_round","lab_blistering","water_type","aquarium_salinity","paper_aquarium_day","aquarium_day","position_of_meristem","desmerestia","extraction_kit_brand","lab_or_field_sampled","pcr_cycles","pcr_position","N.conduct","mean.conduct","sd.conduct","N.temp","mean.temp","sd.temp","se.conduct","lci.conduct","uci.conduct","se.temp","lci.temp","uci.temp"
"rock1-tb-2022-6-28","rock1-tb-2022-6-28","tb","rock",NA,2022,6,28,13,6,"","ocean",NA,"",NA,NA,"no","zymo","field",35,"plate3E1",3,16.45333333,0.169213869,3,16.63333333,0.057735027,0.097695673,16.28411946,16.6225472,0.033333333,16.568,16.69866667
"rock2-tb-2022-6-28","rock2-tb-2022-6-28","tb","rock",NA,2022,6,28,13,6,"","ocean",NA,"",NA,NA,"no","zymo","field",35,"plate4-F1",3,16.45333333,0.169213869,3,16.63333333,0.057735027,0.097695673,16.28411946,16.6225472,0.033333333,16.568,16.69866667
"water1-tb-2022-6-28","water1-tb-2022-6-28","tb","water",NA,2022,6,28,13,6,"","ocean",NA,"",NA,NA,"no","zymo","field",35,"plate4-C7",3,16.45333333,0.169213869,3,16.63333333,0.057735027,0.097695673,16.28411946,16.6225472,0.033333333,16.568,16.69866667
"plate-1-well-1D_S28","plate-1-well-1D","lhp","meristem",NA,2021,5,27,4,NA,"","ocean",NA,"",NA,"dry","no","quiagen_plate","field",35,NA,3,16.52666667,0.098657657,3,13.56666667,0.057735027,0.056960025,16.42800901,16.62532432,0.033333333,13.50133333,13.632
"plate-1-well-5C_S59","plate-1-well-5C","lhp","meristem",NA,2021,5,27,4,NA,"","ocean",NA,"",NA,NA,"no","quiagen_plate","field",35,NA,3,16.52666667,0.098657657,3,13.56666667,0.057735027,0.056960025,16.42800901,16.62532432,0.033333333,13.50133333,13.632
"plate-3-well-1C_S219","plate-3-well-1C","lhp","water",NA,2021,5,27,4,NA,"","ocean",NA,"",NA,NA,"no","quiagen_plate","field",35,NA,3,16.52666667,0.098657657,3,13.56666667,0.057735027,0.056960025,16.42800901,16.62532432,0.033333333,13.50133333,13.632
"plate-3-well-5H_S256","plate-3-well-5H","lhp","water",NA,2021,5,27,4,NA,"","ocean",NA,"",NA,NA,"no","quiagen_plate","field",35,NA,3,16.52666667,0.098657657,3,13.56666667,0.057735027,0.056960025,16.42800901,16.62532432,0.033333333,13.50133333,13.632
"water1-d-30-2022-4-20","water1-d-30-2022-4-20","d-30","water",NA,2022,4,20,8,1,"","lab",30,"day1","D-2",NA,"no","zymo","lab",25,"plate7-C5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"water1-d-30-2022-4-25","water1-d-30-2022-4-25","d-30","water",NA,2022,4,25,8,1,"","lab",30,"","D-7",NA,"no","zymo","lab",25,"plate6-B3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"meristem-d-30-2022-5-4","meristem-d-30-2022-5-4","d-30","meristem",NA,2022,5,4,9,2,"","lab",30,"day1","D-2",NA,"no",NA,"lab",35,"plate7-A8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"water-d-30-2022-5-3","water-d-30-2022-5-3","d-30","water",NA,2022,5,3,9,2,"","lab",30,"day0","D-1",NA,"no","zymo","lab",35,"plate6-B7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"water-d-30-2022-5-4","water-d-30-2022-5-4","d-30","water",NA,2022,5,4,9,2,"","lab",30,"day1","D-2",NA,"no","zymo","lab",35,"plate6-C1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"water-d-30-2022-5-6","water-d-30-2022-5-6","d-30","water",NA,2022,5,6,9,2,"","lab",30,"","D-4",NA,"no","zymo","lab",25,"plate5-F6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"meristem-d-30-2022-5-18","meristem-d-30-2022-5-18","d-30","meristem",NA,2022,5,18,10,3,"","lab",30,"day1","D-2",NA,"no","zymo","lab",25,"plate3-f11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"meristem-d-30-2022-5-20","meristem-d-30-2022-5-20","d-30","meristem",NA,2022,5,20,10,3,"","lab",30,"","D-4",NA,"no","zymo","lab",35,"plate6-F3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"meristem-b-20-2022-7-31","meristem-b-20-2022-7-31","b-20","meristem",NA,2022,7,31,15,8,"n","lab",20,"day4","D-5",NA,"no","zymo","lab",25,"plate8-E10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"water-d-30-2022-5-17","water-d-30-2022-5-17","d-30","water",NA,2022,5,17,10,3,"","lab",30,"day0","D-1",NA,"no","zymo","lab",25,"plate6-D10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"water-d-30-2022-5-20","water-d-30-2022-5-20","d-30","water",NA,2022,5,20,10,3,"","lab",30,"","D-4",NA,"no","zymo","lab",25,"plate5-G3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"waterd-302022520","waterd-302022520","d-30","water",NA,2022,5,20,10,3,"","lab",30,"","D-4",NA,"no","zymo","lab",35,"plate8-D-8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"meristem-f-10-2022-6-4","meristem-f-10-2022-6-4","f-10","meristem",NA,2022,6,4,11,4,"n","lab",10,"day4","D-5",NA,"no","zymo","lab",25,"plate8-G-5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"water-d-30-2022-5-31","water-d-30-2022-5-31","d-30","water",NA,2022,5,31,11,4,"","lab",30,"day0","D-1",NA,"no","zymo","lab",25,"plate5-G6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"water-d-30-2022-6-1","water-d-30-2022-6-1","d-30","water",NA,2022,6,1,11,4,"","lab",30,"day1","D-2",NA,"no","zymo","lab",25,"plate6-G6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"water-d-30-2022-6-4","water-d-30-2022-6-4","d-30","water",NA,2022,6,4,11,4,"","lab",30,"day4","D-5",NA,"no","zymo","lab",25,"plate6-H3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"meristem-d-30-2022-6-22","meristem-d-30-2022-6-22","d-30","meristem",NA,2022,6,22,12,5,"","lab",30,"","D-9",NA,"no","quiagen_tubes","lab",25,"plate2-H-12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"meristem-d-30-2022-6-26","meristem-d-30-2022-6-26","d-30","meristem",NA,2022,6,26,12,5,"","lab",30,"","D-15",NA,"no",NA,"lab",25,"plate1-F-10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"water-d-30-2022-6-26","water-d-30-2022-6-26","d-30","meristem",NA,2022,6,26,12,5,"","lab",30,"","D-15",NA,"no","zymo","lab",25,"plate2-E-1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"meristem-d-30-2022-6-15","meristem-d-30-2022-6-15","d-30","meristem",NA,2022,6,15,12,5,"","lab",30,"day1","D-2",NA,"no","zymo","lab",25,"plate5-H1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"meristem-c-10-2022-7-2","meristem-c-10-2022-7-2","c-10","meristem",NA,2022,7,2,13,6,"n","lab",10,"day4","D-5",NA,"no","zymo","lab",25,"plate5-A10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"meristem-d-30-2022-6-20","meristem-d-30-2022-6-20","d-30","meristem",NA,2022,6,20,12,5,"","lab",30,"","D-7",NA,"no","zymo","lab",35,"plate5-C4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"water-d-30-2022-6-14","water-d-30-2022-6-14","d-30","water",NA,2022,6,14,12,5,"","lab",30,"day0","D-1",NA,"no","zymo","lab",25,"plate7-A7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"water-d-30-2022-6-15","water-d-30-2022-6-15","d-30","water",NA,2022,6,15,12,5,"","lab",30,"day1","D-2",NA,"no","zymo","lab",25,"plate7-A11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"water-d-30-2022-6-18","water-d-30-2022-6-18","d-30","water",NA,2022,6,18,12,5,"","lab",30,"day4","D-5",NA,"no","zymo","lab",25,"plate5-H2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"water-d-30-2022-6-20","water-d-30-2022-6-20","d-30","water",NA,2022,6,20,12,5,"","lab",30,"","D-7",NA,"no","zymo","lab",35,"plate5-H8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"meristem-d-30-2022-5-21","meristem-d-30-2022-5-21","d-30","meristem",NA,2022,5,21,10,3,"n","lab",30,"day4","D-5",NA,"no","zymo","lab",35,"plate6-F10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"water-d-30-2022-6-28","water-d-30-2022-6-28","d-30","water",NA,2022,6,28,13,6,"","lab",30,"day0","D-1",NA,"no","zymo","lab",25,"plate7-D3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"water-d-30-2022-6-30","water-d-30-2022-6-30","d-30","water",NA,2022,6,30,13,6,"","lab",30,"day1","D-2",NA,"no","zymo","lab",25,"plate8-G-4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"meristem-d-30-2022-6-4","meristem-d-30-2022-6-4","d-30","meristem",NA,2022,6,4,11,4,"n","lab",30,"day4","D-5",NA,"no","zymo","lab",25,"plate6-H11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"meristem-d-30-2022-7-2","meristem-d-30-2022-7-2","d-30","meristem",NA,2022,7,2,13,6,"n","lab",30,"day4","D-5",NA,"no","zymo","lab",25,"plate7-F5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"water-d-30-2022-7-13","water-d-30-2022-7-13","d-30","water",NA,2022,7,13,14,7,"","lab",30,"day1","D-2",NA,"no","zymo","lab",35,"plate8-f6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"water-d-30-2022-7-16","water-d-30-2022-7-16","d-30","water",NA,2022,7,16,14,7,"","lab",30,"day4","D-5",NA,"no","zymo","lab",25,"plate7-H6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"meristem-d-30-2022-7-13","meristem-d-30-2022-7-13","d-30","meristem",NA,2022,7,13,14,7,"n","lab",30,"day4","D-5",NA,"no",NA,"lab",25,"plate7-G12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"water-d-30-2022-7-28","water-d-30-2022-7-28","d-30","water",NA,2022,7,28,15,8,"","lab",30,"day1","D-2",NA,"no","zymo","lab",35,"plate8-B1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"water-d-30-2022-7-31","water-d-30-2022-7-31","d-30","water",NA,2022,7,31,15,8,"","lab",30,"day4","D-5",NA,"no","zymo","lab",35,"plate8-C-8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"water1-e-20-2022-4-20","water1-e-20-2022-4-20","e-20","water",NA,2022,4,20,8,1,"","lab",30,"day0","D-1",NA,"no",NA,"lab",25,"plate7-G1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"water1-e-20-2022-4-25","water1-e-20-2022-4-25","e-20","water",NA,2022,4,25,8,1,"","lab",20,"","D-7",NA,"no","zymo","lab",25,"plate6-B4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"meristem-e-20-2022-5-4","meristem-e-20-2022-5-4","e-20","meristem",NA,2022,5,4,9,2,"","lab",20,"day1","D-2",NA,"no","zymo","lab",25,"plate3-F4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"water-e-20-2022-5-3","water-e-20-2022-5-3","e-20","water",NA,2022,5,3,9,2,"","lab",20,"day0","D-1",NA,"no","zymo","lab",25,"plate6-B8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"water-e-20-2022-5-6","water-e-20-2022-5-6","e-20","water",NA,2022,5,6,9,2,"","lab",20,"","D-4",NA,"no","zymo","lab",25,"plate6-C12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"meristem-e-20-2022-5-18","meristem-e-20-2022-5-18","e-20","meristem",NA,2022,5,18,10,3,"","lab",20,"day1","D-2",NA,"no","zymo","lab",35,"plate4--e1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"meristem-e-20-2022-5-20","meristem-e-20-2022-5-20","e-20","meristem",NA,2022,5,20,10,3,"","lab",20,"","D-4",NA,"no","zymo","lab",35,"plate6-F5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"water-e-20-2022-5-17","water-e-20-2022-5-17","e-20","water",NA,2022,5,17,10,3,"","lab",20,"day0","D-1",NA,"no","zymo","lab",25,"plate6-D11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"water-e-20-2022-5-18","water-e-20-2022-5-18","e-20","water",NA,2022,5,18,10,3,"","lab",20,"day1","D-2",NA,"no","zymo","lab",25,"plate6-E5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"water-e-20-2022-5-20","water-e-20-2022-5-20","e-20","water",NA,2022,5,20,10,3,"","lab",20,"","D-4",NA,"no","zymo","lab",25,"plate5-B7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"watere-202022521","watere-202022521","e-20","water",NA,2022,5,21,10,3,"","lab",20,"day4","D-5",NA,"no","zymo","lab",25,"plate8-D-10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"meristem-e-20-2022-6-1","meristem-e-20-2022-6-1","e-20","meristem",NA,2022,6,1,11,4,"","lab",20,"day1","D-2",NA,"no","zymo","lab",35,"plate5-C3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"water-e-20-2022-5-31","water-e-20-2022-5-31","e-20","water",NA,2022,5,31,11,4,"","lab",20,"day0","D-1",NA,"no","zymo","lab",25,"plate5-G7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"water-e-20-2022-6-1","water-e-20-2022-6-1","e-20","water",NA,2022,6,1,11,4,"","lab",20,"day1","D-2",NA,"no","zymo","lab",25,"plate6-G7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"water-e-20-2022-6-4","water-e-20-2022-6-4","e-20","water",NA,2022,6,4,11,4,"","lab",20,"day4","D-5",NA,"no","zymo","lab",25,"plate6-H4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"meristem-d-30-2022-7-16","meristem-d-30-2022-7-16","d-30","meristem",NA,2022,7,16,14,7,"n","lab",30,"day4","D-5",NA,"no","zymo","lab",25,"plate7-H12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"meristem-e-20-2022-6-26","meristem-e-20-2022-6-26","e-20","meristem",NA,2022,6,26,12,5,"","lab",20,"","D-15",NA,"no","zymo","lab",35,"plate2-G-1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"water-e-20-2022-6-26","water-e-20-2022-6-26","e-20","water",NA,2022,6,26,12,5,"","lab",20,"","D-15",NA,"no","zymo","lab",35,"plate2-B-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"water-e-20-2022-6-14","water-e-20-2022-6-14","e-20","water",NA,2022,6,14,12,5,"","lab",20,"day1","D-2",NA,"no","zymo","lab",35,"plate7-A10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"water-e-20-2022-6-15","water-e-20-2022-6-15","e-20","water",NA,2022,6,15,12,5,"","lab",20,"day1","D-2",NA,"no","zymo","lab",35,"plate7-A12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"water-e-20-2022-6-18","water-e-20-2022-6-18","e-20","water",NA,2022,6,18,12,5,"","lab",20,"day4","D-5",NA,"no","zymo","lab",25,"plate5-H3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"water-e-20-2022-6-20","water-e-20-2022-6-20","e-20","water",NA,2022,6,20,12,5,"","lab",20,"","D-7",NA,"no","zymo","lab",35,"plate7-C8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"meristem-e-20-2022-6-30","meristem-e-20-2022-6-30","e-20","meristem",NA,2022,6,30,13,6,"","lab",20,"day1","D-2",NA,"no","zymo","lab",35,"plate5-E12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"meristem-d-30-2022-7-31","meristem-d-30-2022-7-31","d-30","meristem",NA,2022,7,31,15,8,"n","lab",30,"day4","D-5",NA,"no",NA,"lab",35,"plate6-A6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"water-e-20-2022-7-2","water-e-20-2022-7-2","e-20","water",NA,2022,7,2,13,6,"","lab",20,"day4","D-5",NA,"no","zymo","lab",25,"plate7-E11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"meristem-e-20-2022-7-13","meristem-e-20-2022-7-13","e-20","meristem",NA,2022,7,13,14,7,"","lab",20,"day1","D-2",NA,"no","zymo","lab",25,"plate7-H1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"meristem-e-20-2022-6-18","meristem-e-20-2022-6-18","e-20","meristem",NA,2022,6,18,12,5,"n","lab",20,"day4","D-5",NA,"no",NA,"lab",25,"plate7-C4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"water-e-20-2022-7-12","water-e-20-2022-7-12","e-20","water",NA,2022,7,12,14,7,"","lab",20,"day0","D-1",NA,"no","zymo","lab",25,"plate7-F11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"water-e-20-2022-7-13","water-e-20-2022-7-13","e-20","water",NA,2022,7,13,14,7,"","lab",20,"day1","D-2",NA,"no","zymo","lab",25,"plate7-G7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"water-e-20-2022-7-16","water-e-20-2022-7-16","e-20","water",NA,2022,7,16,14,7,"","lab",20,"day4","D-5",NA,"no","zymo","lab",25,"plate7-H7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"meristem-e-20-2022-7-28","meristem-e-20-2022-7-28","e-20","meristem",NA,2022,7,28,15,8,"","lab",20,"day1","D-2",NA,"no","zymo","lab",25,"plate5-B8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"meristem-e-20-2022-7-2","meristem-e-20-2022-7-2","e-20","meristem",NA,2022,7,2,13,6,"n","lab",20,"day4","D-5",NA,"no","zymo","lab",25,"plate7-F6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"water-e-20-2022-7-28","water-e-20-2022-7-28","e-20","water",NA,2022,7,28,15,8,"","lab",20,"day1","D-2",NA,"no","zymo","lab",25,"plate8-B2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"water-e-20-2022-7-31","water-e-20-2022-7-31","e-20","water",NA,2022,7,31,15,8,"","lab",20,"day4","D-5",NA,"no","zymo","lab",35,"plate8-C-5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"water1-f-10-2022-4-20","water1-f-10-2022-4-20","f-10","water",NA,2022,4,20,8,1,"","lab",10,"day1","D-2",NA,"no","zymo","lab",25,"plate7-E6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"water1-f-10-2022-4-25","water1-f-10-2022-4-25","f-10","water",NA,2022,4,25,8,1,"","lab",10,"","D-7",NA,"no","zymo","lab",35,"plate6-B5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"meristem-f-10-2022-5-4","meristem-f-10-2022-5-4","f-10","meristem",NA,2022,5,4,9,2,"","lab",10,"day1","D-2",NA,"no","zymo","lab",25,"plate3-E4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"water-f-10-2022-5-4","water-f-10-2022-5-4","f-10","water",NA,2022,5,4,9,2,"","lab",10,"day1","D-2",NA,"no","zymo","lab",25,"plate5-F3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"water-f-10-2022-5-6","water-f-10-2022-5-6","f-10","water",NA,2022,5,6,9,2,"","lab",10,"","D-4",NA,"no","zymo","lab",35,"plate6-D1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"meristem-f-10-2022-5-18","meristem-f-10-2022-5-18","f-10","meristem",NA,2022,5,18,10,3,"","lab",10,"day1","D-2",NA,"no","zymo","lab",35,"plate4--f4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"water-f-10-2022-5-17","water-f-10-2022-5-17","f-10","water",NA,2022,5,17,10,3,"","lab",10,"day0","D-1",NA,"no","zymo","lab",35,"plate5-B11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"water-f-10-2022-5-18","water-f-10-2022-5-18","f-10","water",NA,2022,5,18,10,3,"","lab",10,"day1","D-2",NA,"no","zymo","lab",25,"plate5-F11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"water-c-10-2022-7-2","water-c-10-2022-7-2","c-10","water",NA,2022,7,2,13,6,"","lab",10,"day4","D-5",NA,"no","zymo","lab",35,"plate7-E10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"water-f-10-2022-5-20a","water-f-10-2022-5-20a","f-10","water",NA,2022,5,20,10,3,"","lab",20,"day4","D-5",NA,"no",NA,"lab",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"meristem-f-10-2022-6-1","meristem-f-10-2022-6-1","f-10","meristem",NA,2022,6,1,11,4,"","lab",10,"day1","D-2",NA,"no","zymo","lab",35,"plate6-H1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"meristem-e-20-2022-7-16","meristem-e-20-2022-7-16","e-20","meristem",NA,2022,7,16,14,7,"n","lab",20,"day4","D-5",NA,"no","zymo","lab",25,"plate8-G-6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"water-f-10-2022-5-31","water-f-10-2022-5-31","f-10","water",NA,2022,5,31,11,4,"","lab",10,"day0","D-1",NA,"no","zymo","lab",25,"plate5-G8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"water-f-10-2022-6-1","water-f-10-2022-6-1","f-10","water",NA,2022,6,1,11,4,"","lab",10,"day1","D-2",NA,"no","zymo","lab",35,"plate6-G8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"airline-10-2022-7-16","airline-10-2022-7-16","10","airline",NA,2022,7,16,14,7,"","lab",10,"day4","D-5",NA,"no","zymo","lab",35,"plate7-H9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"meristem-f-10-2022-6-22","meristem-f-10-2022-6-22","f-10","meristem",NA,2022,6,22,12,5,"","lab",10,"","D-9",NA,"no","quiagen_tubes","lab",25,"plate2-C-12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"water-f-10-2022-6-22","water-f-10-2022-6-22","f-10","water",NA,2022,6,22,12,5,"","lab",10,"","D-9",NA,"no","quiagen_tubes","lab",35,"plate2-G-11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"water-f-10-2022-6-26","water-f-10-2022-6-26","f-10","water",NA,2022,6,26,12,5,"","lab",10,"","D-15",NA,"no","zymo","lab",35,"plate2-E-4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"meristem-e-20-2022-7-31","meristem-e-20-2022-7-31","e-20","meristem",NA,2022,7,31,15,8,"n","lab",20,"day4","D-5",NA,"no","zymo","lab",25,"plate8-E12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"meristem-f-10-2022-6-20","meristem-f-10-2022-6-20","f-10","meristem",NA,2022,6,20,12,5,"","lab",10,"","D-7",NA,"no","zymo","lab",25,"plate7-D1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"meristem-f-10-2022-7-2","meristem-f-10-2022-7-2","f-10","meristem",NA,2022,7,2,13,6,"n","lab",10,"day4","D-5",NA,"no","zymo","lab",25,"plate7-F7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"water-f-10-2022-6-20","water-f-10-2022-6-20","f-10","water",NA,2022,6,20,12,5,"","lab",10,"","D-9",NA,"no","zymo","lab",35,"plate5-D12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"waterf-1044726","waterf-1044726","f-10","water",NA,2022,6,14,12,5,"","lab",10,"day0","D-1",NA,"no","zymo","lab",25,"plate8-C-11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"meristem-f-10-2022-6-30","meristem-f-10-2022-6-30","f-10","meristem",NA,2022,6,30,13,6,"","lab",10,"day1","D-2",NA,"no","zymo","lab",35,"plate7-E8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"water-f-10-2022-7-16","water-f-10-2022-7-16","f-10","water",NA,2022,7,16,14,7,"","lab",10,"day4","D-5",NA,"no","zymo","lab",35,"plate7-H8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"water-f-10-2022-6-28","water-f-10-2022-6-28","f-10","water",NA,2022,6,28,13,6,"","lab",10,"day0","D-1",NA,"no","zymo","lab",25,"plate7-D5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"water-f-10-2022-6-30","water-f-10-2022-6-30","f-10","water",NA,2022,6,30,13,6,"","lab",10,"day1","D-2",NA,"no","zymo","lab",25,"plate7-D11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"meristem-f-10-2022-7-13","meristem-f-10-2022-7-13","f-10","meristem",NA,2022,7,13,14,7,"","lab",10,"day1","D-2",NA,"no","zymo","lab",25,"plate7-H2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"airline-10-2022-7-31","airline-10-2022-7-31","10","airline",NA,2022,7,31,15,8,"","lab",10,"day4","D-5",NA,"no","zymo","lab",25,"plate8-E9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"meristem-c-10-2022-7-31","meristem-c-10-2022-7-31","c-10","meristem",NA,2022,7,31,15,8,"n","lab",10,"day4","D-5",NA,"no","zymo","lab",25,"plate8-E11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"meristem-f-10-2022-7-28","meristem-f-10-2022-7-28","f-10","meristem",NA,2022,7,28,15,8,"","lab",10,"day1","D-2",NA,"no","zymo","lab",35,"plate8-E1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"meristem-f-10-2022-7-31","meristem-f-10-2022-7-31","f-10","meristem",NA,2022,7,31,15,8,"n",NA,10,"day4","D-5",NA,"no",NA,"lab",35,"plate6-A7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"water-f-10-2022-7-27","water-f-10-2022-7-27","f-10","water",NA,2022,7,27,15,8,"","lab",10,"day0","D-1",NA,"no","zymo","lab",35,"plate8-c4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
